step,x,y,v,delta,cross_err
117,60.880034,28.321750,14.9967,0.033835,0.143760
118,61.362498,28.895753,14.9970,0.033829,0.143886
119,61.839555,29.474278,14.9973,0.033824,0.144019
120,62.311164,30.057273,14.9976,0.033820,0.144159
121,62.777281,30.644685,14.9978,0.031490,0.144287
122,63.237866,31.236460,14.9980,0.034357,0.144435
123,63.693263,31.832250,14.9982,0.034050,0.144102
124,64.142957,32.432369,14.9984,0.034033,0.143886
125,64.586959,33.036722,14.9986,0.033997,0.143722
126,65.025231,33.645254,14.9987,0.033967,0.143607
127,65.457739,34.257904,14.9988,0.033943,0.143534
128,65.884449,34.874614,14.9990,0.033921,0.143496
129,66.305327,35.495326,14.9991,0.033903,0.143488
130,66.720339,36.119981,14.9992,0.033888,0.143506
131,67.129451,36.748523,14.9992,0.033874,0.143546
132,67.532628,37.380892,14.9993,0.033863,0.143605
133,67.929837,38.017032,14.9994,0.033854,0.143680
134,68.321045,38.656883,14.9994,0.033845,0.143769
135,68.706218,39.300389,14.9995,0.033839,0.143869
136,69.085323,39.947492,14.9996,0.033833,0.143979
137,69.458329,40.598133,14.9996,0.033828,0.144098
138,69.825202,41.252253,14.9996,0.033823,0.144224
139,70.185912,41.909795,14.9997,0.031493,0.144339
140,70.540426,42.570700,14.9997,0.034362,0.144475
141,70.889144,43.234683,14.9997,0.034054,0.144130
142,71.231507,43.901967,14.9998,0.034036,0.143903
143,71.567541,44.572461,14.9998,0.034000,0.143730
144,71.897219,45.246105,14.9998,0.033971,0.143606
145,72.220519,45.922835,14.9998,0.033945,0.143524
146,72.537416,46.602587,14.9998,0.033924,0.143478
147,72.847887,47.285299,14.9999,0.033906,0.143463
148,73.151910,47.970908,14.9999,0.033890,0.143475
149,73.449460,48.659352,14.9999,0.033877,0.143509
150,73.740513,49.350568,14.9999,0.033865,0.143562
151,74.025047,50.044493,14.9999,0.033855,0.143632
152,74.303039,50.741066,14.9999,0.033847,0.143716
153,74.574465,51.440224,14.9999,0.033840,0.143812
154,74.839304,52.141904,14.9999,0.033834,0.143918
155,75.097533,52.846044,14.9999,0.033829,0.144034
156,75.349130,53.552580,14.9999,0.033824,0.144156
157,75.594075,54.261451,15.0000,0.033821,0.144286
158,75.832346,54.972593,15.0000,0.031491,0.144403
159,76.063923,55.685944,15.0000,0.034360,0.144541
160,76.289250,56.401293,15.0000,0.034052,0.144198
161,76.507736,57.118762,15.0000,0.034035,0.143972
162,76.719423,57.838266,15.0000,0.033999,0.143799
163,76.924296,58.559740,15.0000,0.033970,0.143676
164,77.122344,59.283117,15.0000,0.033945,0.143595
165,77.313555,60.008332,15.0000,0.033923,0.143549
166,77.497917,60.735319,15.0000,0.033905,0.143535
167,77.675417,61.464011,15.0000,0.033890,0.143546
168,77.846044,62.194343,15.0000,0.033876,0.143580
169,78.009786,62.926250,15.0000,0.033865,0.143634
170,78.166631,63.659665,15.0000,0.033855,0.143704
171,78.316567,64.394525,15.0000,0.033847,0.143787
172,78.459583,65.130762,15.0000,0.033840,0.143883
173,78.595668,65.868312,15.0000,0.033834,0.143990
174,78.724812,66.607109,15.0000,0.033829,0.144105
175,78.847004,67.347088,15.0000,0.033824,0.144227
176,78.962234,68.088183,15.0000,0.031494,0.144340
177,79.070494,68.830328,15.0000,0.034363,0.144473
178,79.172255,69.573392,15.0000,0.034054,0.144125
179,79.266916,70.317394,15.0000,0.034037,0.143896
180,79.354532,71.062258,15.0000,0.034001,0.143720
181,79.435099,71.807918,15.0000,0.033971,0.143594
182,79.508617,72.554306,15.0000,0.033946,0.143510
183,79.575087,73.301355,15.0000,0.033925,0.143463
184,79.634506,74.048997,15.0000,0.033906,0.143447
185,79.686875,74.797166,15.0000,0.033890,0.143457
186,79.732192,75.545796,15.0000,0.033877,0.143490
187,79.770457,76.294819,15.0000,0.033866,0.143542
188,79.801669,77.044169,15.0000,0.033856,0.143611
189,79.825828,77.793780,15.0000,0.033847,0.143694
190,79.842934,78.543585,15.0000,0.033840,0.143789
191,79.852987,79.293517,15.0000,0.033834,0.143895
192,79.855987,80.043511,15.0000,0.033829,0.144009
193,79.851936,80.793500,15.0000,0.033825,0.144131
194,79.840835,81.543418,15.0000,0.033821,0.144260
195,79.822685,82.293198,15.0000,0.031491,0.144377
196,79.797490,83.042775,15.0000,0.034360,0.144515
197,79.765737,83.792102,15.0000,0.034052,0.144171
198,79.726830,84.541092,15.0000,0.034035,0.143945
199,79.680838,85.289681,15.0000,0.033999,0.143772
200,79.627768,86.037801,15.0000,0.033970,0.143648
201,79.567633,86.785386,15.0000,0.033945,0.143567
202,79.500443,87.532370,15.0000,0.033924,0.143521
203,79.426210,88.278688,15.0000,0.033905,0.143506
204,79.344945,89.024272,15.0000,0.033890,0.143518
205,79.256659,89.769058,15.0000,0.033876,0.143552
206,79.161364,90.512979,15.0000,0.033865,0.143605
207,79.059069,91.255970,15.0000,0.033855,0.143675
208,78.949787,91.997966,15.0000,0.033847,0.143758
209,78.833530,92.738900,15.0000,0.033840,0.143854
210,78.710309,93.478709,15.0000,0.033834,0.143960
211,78.580136,94.217326,15.0000,0.033829,0.144075
212,78.443025,94.954686,15.0000,0.033825,0.144198
213,78.298989,95.690725,15.0000,0.031494,0.144310
214,78.148041,96.425378,15.0000,0.034363,0.144443
215,77.990669,97.158682,15.0000,0.034055,0.144096
216,77.826303,97.890449,15.0000,0.034037,0.143866
217,77.655018,98.620628,15.0000,0.034001,0.143690
218,77.476836,99.349155,15.0000,0.033971,0.143564
219,77.291778,100.075965,15.0000,0.033946,0.143481
220,77.099867,100.800997,15.0000,0.033925,0.143433
221,76.901126,101.524185,15.0000,0.033906,0.143417
222,76.695576,102.245468,15.0000,0.033890,0.143427
223,76.483239,102.964783,15.0000,0.033877,0.143460
224,76.264138,103.682065,15.0000,0.033866,0.143512
225,76.038294,104.397254,15.0000,0.033856,0.143581
226,75.805729,105.110285,15.0000,0.033847,0.143664
227,75.566467,105.821097,15.0000,0.033840,0.143759
228,75.320530,106.529627,15.0000,0.033834,0.143865
229,75.067941,107.235813,15.0000,0.033829,0.143979
230,74.808724,107.939594,15.0000,0.033825,0.144102
231,74.542902,108.640906,15.0000,0.033821,0.144230
232,74.270501,109.339689,15.0000,0.031491,0.144348
233,73.991544,110.035880,15.0000,0.034360,0.144485
234,73.706506,110.729605,15.0000,0.034052,0.144141
235,73.414857,111.420576,15.0000,0.034035,0.143915
236,73.116682,112.108756,15.0000,0.033999,0.143742
237,72.812013,112.794085,15.0000,0.033970,0.143619
238,72.500882,113.476506,15.0000,0.033945,0.143537
239,72.183324,114.155959,15.0000,0.033923,0.143491
240,71.859370,114.832386,15.0000,0.033905,0.143477
241,71.529055,115.505730,15.0000,0.033890,0.143488
242,71.192410,116.175932,15.0000,0.033876,0.143522
243,70.849469,116.842933,15.0000,0.033865,0.143575
244,70.500264,117.506677,15.0000,0.033855,0.143645
245,70.144828,118.167105,15.0000,0.033847,0.143729
246,69.783195,118.824161,15.0000,0.033840,0.143824
247,69.415398,119.477785,15.0000,0.033834,0.143930
248,69.041471,120.127923,15.0000,0.033829,0.144045
249,68.661448,120.774516,15.0000,0.033824,0.144168
250,68.275363,121.417508,15.0000,0.031494,0.144281
251,67.883253,122.056843,15.0000,0.034363,0.144414
252,67.485562,122.692722,15.0000,0.034055,0.144066
253,67.081817,123.324774,15.0000,0.034037,0.143837
254,66.672109,123.952978,15.0000,0.034001,0.143661
255,66.256478,124.577278,15.0000,0.033971,0.143535
256,65.834967,125.197623,15.0000,0.033946,0.143451
257,65.407619,125.813962,15.0000,0.033925,0.143404
258,64.974475,126.426242,15.0000,0.033906,0.143388
259,64.535579,127.034412,15.0000,0.033890,0.143398
260,64.090973,127.638419,15.0000,0.033877,0.143431
261,63.640698,128.238213,15.0000,0.033866,0.143483
262,63.184796,128.833741,15.0000,0.033856,0.143552
263,62.723311,129.424953,15.0000,0.033847,0.143635
264,62.256284,130.011796,15.0000,0.033840,0.143730
265,61.783758,130.594222,15.0000,0.033834,0.143835
266,61.305776,131.172178,15.0000,0.033829,0.143950
267,60.822381,131.745615,15.0000,0.033825,0.144072
268,60.333618,132.314482,15.0000,0.033821,0.144201
269,59.839528,132.878730,15.0000,0.031491,0.144319
270,59.340158,133.438309,15.0000,0.034360,0.144456
271,58.835911,133.993498,15.0000,0.034052,0.144112
272,58.326385,134.543847,15.0000,0.034035,0.143886
273,57.811674,135.089349,15.0000,0.033999,0.143713
274,57.291828,135.629959,15.0000,0.033970,0.143589
275,56.766897,136.165634,15.0000,0.033945,0.143508
276,56.236932,136.696330,15.0000,0.033923,0.143462
277,55.701986,137.222003,15.0000,0.033905,0.143447
278,55.162108,137.742610,15.0000,0.033890,0.143459
279,54.617349,138.258108,15.0000,0.033876,0.143493
280,54.067759,138.768452,15.0000,0.033865,0.143546
281,53.513390,139.273600,15.0000,0.033855,0.143616
282,52.954292,139.773509,15.0000,0.033847,0.143699
283,52.390515,140.268136,15.0000,0.033840,0.143795
284,51.822111,140.757439,15.0000,0.033834,0.143901
285,51.249132,141.241375,15.0000,0.033829,0.144016
286,50.671627,141.719903,15.0000,0.033824,0.144139
287,50.089650,142.192980,15.0000,0.033821,0.144268
288,49.503252,142.660567,15.0000,0.031491,0.144385
289,48.912485,143.122622,15.0000,0.034360,0.144523
290,48.317698,143.579490,15.0000,0.034052,0.144179
291,47.718576,144.030658,15.0000,0.034035,0.143953
292,47.115212,144.476137,15.0000,0.033999,0.143780
293,46.507661,144.915889,15.0000,0.033970,0.143657
294,45.895983,145.349882,15.0000,0.033945,0.143575
295,45.280235,145.778081,15.0000,0.033923,0.143530
296,44.660475,146.200453,15.0000,0.033905,0.143515
297,44.036762,146.616965,15.0000,0.033890,0.143527
298,43.409152,147.027581,15.0000,0.033876,0.143561
299,42.777703,147.432269,15.0000,0.033865,0.143614
300,42.142473,147.830995,15.0000,0.033855,0.143684
301,41.503518,148.223725,15.0000,0.033847,0.143767
302,40.860897,148.610427,15.0000,0.033840,0.143863
303,40.214668,148.991067,15.0000,0.033834,0.143969
304,39.564887,149.365614,15.0000,0.033829,0.144084
305,38.911614,149.734035,15.0000,0.033825,0.144207
306,38.254906,150.096299,15.0000,0.031494,0.144320
307,37.594823,150.452375,15.0000,0.034363,0.144452
308,36.931649,150.802660,15.0000,0.034055,0.144105
309,36.265160,151.146597,15.0000,0.034037,0.143875
310,35.595446,151.484211,15.0000,0.034001,0.143699
311,34.922569,151.815476,15.0000,0.033971,0.143573
312,34.246592,152.140369,15.0000,0.033946,0.143490
313,33.567578,152.458866,15.0000,0.033925,0.143443
314,32.885590,152.770943,15.0000,0.033906,0.143426
315,32.200691,153.076578,15.0000,0.033890,0.143436
316,31.512942,153.375746,15.0000,0.033877,0.143469
317,30.822406,153.668424,15.0000,0.033866,0.143521
318,30.129146,153.954589,15.0000,0.033856,0.143590
319,29.433223,154.234217,15.0000,0.033847,0.143673
320,28.734701,154.507285,15.0000,0.033840,0.143768
321,28.033641,154.773772,15.0000,0.033834,0.143874
322,27.330106,155.033654,15.0000,0.033829,0.143989
323,26.624159,155.286910,15.0000,0.033825,0.144111
324,25.915862,155.533518,15.0000,0.033821,0.144239
325,25.205279,155.773459,15.0000,0.031491,0.144357
326,24.492472,156.006710,15.0000,0.034360,0.144494
327,23.777651,156.233716,15.0000,0.034052,0.144151
328,23.060696,156.453885,15.0000,0.034035,0.143924
329,22.341689,156.667261,15.0000,0.033999,0.143751
330,21.620696,156.873827,15.0000,0.033970,0.143628
331,20.897784,157.073572,15.0000,0.033945,0.143546
332,20.173019,157.266484,15.0000,0.033923,0.143501
333,19.446466,157.452552,15.0000,0.033905,0.143486
334,18.718191,157.631762,15.0000,0.033890,0.143497
335,17.988261,157.804102,15.0000,0.033876,0.143531
336,17.256739,157.969561,15.0000,0.033865,0.143584
337,16.523693,158.128126,15.0000,0.033855,0.143654
338,15.789187,158.279786,15.0000,0.033847,0.143738
339,15.053287,158.424530,15.0000,0.033840,0.143833
340,14.316057,158.562345,15.0000,0.033834,0.143939
341,13.577565,158.693222,15.0000,0.033829,0.144054
342,12.837874,158.817150,15.0000,0.033824,0.144177
343,12.097052,158.934119,15.0000,0.031494,0.144290
344,11.355162,159.044120,15.0000,0.034363,0.144423
345,10.612339,159.147624,15.0000,0.034055,0.144075
346,9.868561,159.244030,15.0000,0.034037,0.143846
347,9.123904,159.333394,15.0000,0.034001,0.143670
348,8.378435,159.415710,15.0000,0.033971,0.143544
349,7.632221,159.490979,15.0000,0.033946,0.143460
350,6.885330,159.559201,15.0000,0.033925,0.143413
351,6.137829,159.620374,15.0000,0.033906,0.143397
352,5.389785,159.674498,15.0000,0.033890,0.143407
353,4.641264,159.721572,15.0000,0.033877,0.143440
354,3.892332,159.761594,15.0000,0.033866,0.143492
355,3.143057,159.794565,15.0000,0.033856,0.143561
356,2.393505,159.820482,15.0000,0.033847,0.143644
357,1.643742,159.839347,15.0000,0.033840,0.143739
358,0.893835,159.851159,15.0000,0.033834,0.143844
359,0.143851,159.855919,15.0000,0.033829,0.143959
360,-0.606146,159.853628,15.0000,0.033825,0.144081
361,-1.356088,159.844286,15.0000,0.033821,0.144210
362,-2.105909,159.827896,15.0000,0.031491,0.144327
363,-2.855542,159.804460,15.0000,0.034360,0.144465
364,-3.604942,159.774464,15.0000,0.034052,0.144121
365,-4.354022,159.737315,15.0000,0.034035,0.143895
366,-5.102716,159.693080,15.0000,0.033999,0.143722
367,-5.850959,159.641765,15.0000,0.033970,0.143598
368,-6.598683,159.583384,15.0000,0.033945,0.143517
369,-7.345823,159.517947,15.0000,0.033923,0.143471
370,-8.092312,159.445465,15.0000,0.033905,0.143456
371,-8.838085,159.365950,15.0000,0.033890,0.143468
